gene_id,gene_symbol,gene_name
PECUL23A055459,mc1r,melanocortin-1 receptor
PECUL23A019284,asip,agouti-signaling
PECUL23A040111,mitf,Melanocyte Inducing Transcription Factor
PECUL23A015118,sox10,SRY-box 10
PECUL23A023288,pax3,paired box 3
PECUL23A000301,tyr,tyrosinase
PECUL23A011713,dct,dopachrome tautomerase
PECUL23A038095,tyrp1,tyrosinase-related protein 1
PECUL23A009622,pmel,premelanosome protein 
PECUL23A034305,oca2,oculocutaneous albinism II
PECUL23A039712,slc24a5 ,solute carrier family 24 member 5
PECUL23A053655,slc45a2,solute carrier family 45 member 2
PECUL23A047519,mlph,melanophilin
PECUL23A043421,mlana,melan-A
