id,sample,360nm,370nm,380nm,390nm,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,710nm,720nm,730nm,740nm
1,7_D,8.42,8.26,7.91,7.25,6.52,6.52,7.68,8.35,9.18,10.32,11.31,11.94,12.5,12.87,13.55,14.23,14.54,14.44,14.29,14.48,14.83,14.86,15.27,16.61,17.69,18.18,18.3,18.32,18.3,18.37,18.28,18.18,18.09,17.95,17.84,17.69,17.49,17.34,17
2,7_D,8.55,8.3,8.07,7.69,7.34,7.53,8.21,8.62,9.2,10.25,11.3,11.98,12.46,12.77,13.29,13.79,13.92,13.74,13.51,13.51,13.68,13.71,14.06,15.06,15.96,16.4,16.48,16.4,16.32,16.2,16.08,15.93,15.8,15.67,15.53,15.35,15.16,14.96,14.69
3,7_V,35.62,38.17,38.53,36.82,34.69,33.26,33.89,36.28,39.52,42.45,45.05,46.96,48.59,50.13,51.78,53.37,53.96,53.52,53.62,55.25,56.79,56.62,57.57,61.39,64.07,64.88,64.87,64.62,64.38,64.02,63.43,62.74,62.17,61.65,61.01,60.27,59.38,58.57,57.42
4,7_V,35.61,37.58,37.68,35.85,33.82,32.59,33.15,35.3,38.66,41.51,44.05,45.95,47.73,49.24,50.9,52.58,53.21,52.69,52.79,54.47,56.17,55.93,56.94,61,63.84,64.59,64.63,64.46,64.17,63.86,63.16,62.56,61.92,61.38,60.76,60.05,59.17,58.37,57.13
5,8_D,8.25,8.07,7.9,7.63,7.47,8.06,9.81,10.92,11.58,12.03,12.6,13.29,14.19,15.11,16.34,17.59,18.51,19.08,19.44,19.7,19.84,19.9,19.93,20.05,20.13,20.06,19.83,19.58,19.36,19.13,18.93,18.64,18.36,18.12,17.84,17.54,17.24,17.01,16.68
6,8_D,8.21,7.99,7.75,7.43,7.21,7.76,9.19,10.15,10.77,11.31,11.92,12.61,13.57,14.51,15.79,17.1,18.06,18.7,19.12,19.44,19.65,19.8,19.91,20.14,20.31,20.33,20.14,19.99,19.79,19.61,19.45,19.16,18.95,18.7,18.44,18.16,17.86,17.59,17.26
7,8_V,26.64,28.18,28.56,27.69,26.68,26.28,26.33,27.18,28.67,30,31.33,32.56,33.83,34.95,36.64,38.51,39.89,40.59,41.3,42.56,43.87,44.27,45.14,47.3,48.74,49.22,49.36,49.34,49.24,49.11,48.61,48.15,47.81,47.48,47.14,46.67,46.03,45.47,44.52
8,8_V,25.29,26.54,26.79,26.07,25.26,24.92,25.12,25.98,27.44,28.74,30.02,31.32,32.56,33.59,35.27,37.02,38.3,38.78,39.39,40.61,41.73,41.94,42.84,44.99,46.31,46.69,46.81,46.71,46.57,46.3,45.78,45.27,44.98,44.55,44.23,43.85,43.23,42.7,41.75
9,9_D,8.46,8.51,8.47,8.34,8.37,9.1,10.51,11.39,12.34,13.57,14.58,15.38,16.08,16.65,17.54,18.33,18.89,19.1,19.02,18.97,19.05,19.16,19.39,19.94,20.43,20.66,20.55,20.4,20.16,19.94,19.68,19.36,19.1,18.86,18.62,18.32,17.97,17.68,17.27
10,9_D,8.72,8.58,8.39,8.18,8.14,8.78,10.19,11.05,12,13.17,14.31,15.1,15.95,16.65,17.56,18.53,19.16,19.38,19.33,19.32,19.4,19.51,19.75,20.38,20.92,21.2,21.14,20.98,20.75,20.52,20.32,20,19.74,19.49,19.22,18.92,18.58,18.28,17.89
11,9_V,25.55,26.58,26.65,25.55,24.4,23.86,23.92,24.99,27.06,29.12,31.14,32.79,34.42,35.76,37.37,39,39.65,39.32,39.35,40.57,41.9,41.66,42.38,45.88,48.41,49.16,49.14,48.96,48.69,48.18,47.55,46.76,46.29,45.85,45.4,44.78,43.95,43.21,42.2
12,9_V,28.05,29.11,29.14,28.05,26.81,26.1,26.14,27.28,29.51,31.55,33.51,34.9,36.37,37.67,39.26,40.82,41.64,41.61,41.95,43.48,44.95,45.03,46.09,49.5,51.8,52.58,52.69,52.6,52.5,52.25,51.74,51.11,50.75,50.31,49.88,49.23,48.48,47.77,46.72
13,10_D,3.58,3.5,3.43,3.31,3.2,3.16,3.18,3.16,3.19,3.28,3.38,3.43,3.49,3.52,3.55,3.57,3.58,3.54,3.49,3.46,3.45,3.5,3.54,3.65,3.79,3.85,3.89,3.89,3.92,3.97,3.96,3.98,4.03,4.07,4.14,4.21,4.26,4.33,4.35
14,10_D,2.63,2.59,2.56,2.49,2.41,2.47,2.57,2.6,2.63,2.74,2.84,2.89,2.93,2.97,3,3.03,3.03,3,2.99,2.94,2.96,2.99,3.05,3.19,3.27,3.39,3.44,3.47,3.55,3.53,3.55,3.59,3.59,3.67,3.73,3.81,3.85,3.9,3.94
15,10_V,14.74,14.78,14.52,13.85,13.19,12.8,12.66,12.88,13.64,14.63,15.51,16.24,17.13,17.83,18.7,19.6,20.17,20.22,20.45,21.39,22.5,22.72,23.51,25.86,27.57,28.21,28.57,28.74,28.84,28.74,28.47,28.19,28.19,28.15,28.09,28.04,28.01,28.04,27.66
16,10_V,13.62,13.53,13.2,12.55,11.88,11.47,11.32,11.47,12.11,12.9,13.64,14.2,14.9,15.5,16.13,16.87,17.23,17.12,17.22,18.03,18.95,19.05,19.68,21.84,23.4,24.02,24.29,24.48,24.55,24.43,24.2,23.94,24.03,24.13,24.15,24.15,24.19,24.27,24.08
17,11_D,4.71,4.51,4.36,4.08,3.86,3.74,3.69,3.63,3.6,3.56,3.55,3.51,3.5,3.51,3.5,3.48,3.48,3.43,3.38,3.37,3.34,3.3,3.34,3.37,3.42,3.46,3.47,3.49,3.45,3.51,3.49,3.51,3.51,3.57,3.58,3.63,3.63,3.66,3.69
18,11_D,3.04,2.9,2.77,2.64,2.46,2.37,2.43,2.4,2.39,2.41,2.4,2.42,2.46,2.49,2.53,2.57,2.56,2.55,2.53,2.51,2.52,2.51,2.55,2.64,2.67,2.74,2.79,2.75,2.79,2.8,2.83,2.85,2.88,2.91,2.94,3,3.03,3.09,3.08
19,11_V,12.79,12.65,12.32,11.66,11.03,10.63,10.36,10.39,10.73,11.3,11.85,12.3,12.83,13.3,13.87,14.42,14.78,14.88,15.15,16.02,17.02,17.38,18.23,20.4,22.06,22.98,23.54,23.89,24.13,24.18,24.11,24,24.1,24.24,24.14,24.12,23.94,23.79,23.45
20,11_V,17.95,17.49,16.98,16.13,15.28,14.72,14.33,14.44,14.92,15.56,16.25,16.85,17.78,18.73,19.78,20.99,22.03,22.72,23.49,24.81,26.23,26.73,27.7,29.82,31.35,32.07,32.37,32.58,32.76,32.74,32.53,32.3,32.21,32.12,31.94,31.53,31.15,30.77,30.21
21,11_V,16.66,16.42,16.07,15.32,14.63,14.12,13.77,13.9,14.39,15.1,15.81,16.46,17.28,18.19,19.1,20.13,20.91,21.39,22.09,23.39,24.66,25.15,26.17,28.45,30.14,31,31.39,31.62,31.88,31.84,31.74,31.51,31.53,31.61,31.49,31.27,30.99,30.64,30.23
22,12_D,8.13,7.77,7.53,7.14,6.79,6.53,6.37,6.23,6.17,6.16,6.15,6.06,6.04,5.96,5.92,5.91,5.86,5.8,5.68,5.57,5.54,5.53,5.53,5.58,5.62,5.65,5.67,5.64,5.67,5.65,5.66,5.65,5.69,5.68,5.72,5.77,5.81,5.85,5.84
23,12_D,8.6,8.25,8.03,7.65,7.3,7.05,6.88,6.71,6.67,6.65,6.65,6.53,6.56,6.47,6.44,6.46,6.43,6.35,6.23,6.1,6.07,6.08,6.1,6.14,6.21,6.22,6.25,6.28,6.27,6.28,6.27,6.27,6.31,6.35,6.4,6.43,6.49,6.54,6.52
24,12_V,14.61,14.82,14.79,14.28,13.62,13.17,13.03,13.16,13.73,14.41,15.06,15.48,16.12,16.56,17.26,18.06,18.73,19.12,19.61,20.57,21.72,22.38,23.51,25.58,27.13,28.04,28.7,29.24,29.58,29.79,29.76,29.73,30.06,30.19,30.25,30.25,30.11,30.03,29.62
25,12_V,13.8,13.74,13.51,12.87,12.28,11.85,11.62,11.73,12.09,12.6,13.08,13.45,13.95,14.36,14.88,15.5,15.95,16.09,16.38,17.26,18.33,18.82,19.78,21.98,23.73,24.72,25.42,25.94,26.33,26.55,26.54,26.49,26.82,27,27.11,27.08,27.01,26.95,26.57
26,21_D,9.76,9.21,8.81,8.25,7.72,7.94,9.25,10.01,10.56,10.99,11.35,11.77,12.29,12.74,13.46,14.24,14.9,15.4,15.76,16.14,16.56,16.87,17.17,17.65,17.99,18.14,18.17,18.16,18.12,18.08,18,17.83,17.64,17.46,17.25,16.98,16.71,16.42,16.03
27,21_D,8.34,7.78,7.29,6.73,6.17,6.35,7.63,8.44,9.05,9.61,10.17,10.72,11.43,12.08,12.96,13.91,14.66,15.16,15.53,15.96,16.38,16.69,17.01,17.67,18.17,18.43,18.45,18.43,18.43,18.42,18.32,18.19,18,17.85,17.66,17.41,17.12,16.85,16.52
28,21_V,39.88,41.08,40.86,38.9,36.12,34.9,36.52,38.81,42.01,44.92,47.3,49.19,50.81,52.12,53.63,55.2,55.8,55.54,55.68,57.18,58.67,58.65,59.5,62.91,65.23,65.83,65.7,65.46,65.19,64.83,64.17,63.52,62.8,62.09,61.3,60.41,59.27,58.27,56.96
29,21_V,40.3,41.36,41,38.86,36.22,34.93,36.49,38.87,42.03,44.83,47.05,49.04,50.73,52.11,53.66,55.3,55.96,55.63,55.65,57.24,58.88,58.73,59.47,63.14,65.68,66.34,66.17,65.98,65.66,65.33,64.66,63.95,63.22,62.52,61.74,60.78,59.67,58.63,57.3
30,22_D,3.64,3.45,3.33,3.18,3.02,2.98,3,2.95,2.93,2.92,2.9,2.9,2.91,2.94,2.98,3.02,3.04,3.05,3.02,3.02,3.03,3.04,3.05,3.09,3.09,3.13,3.14,3.12,3.15,3.13,3.17,3.19,3.21,3.29,3.32,3.36,3.42,3.48,3.52
31,22_D,5.63,5.26,5.01,4.73,4.44,4.23,4.16,4.01,3.91,3.84,3.77,3.71,3.68,3.65,3.64,3.63,3.64,3.59,3.56,3.53,3.5,3.49,3.49,3.51,3.51,3.49,3.49,3.51,3.52,3.49,3.52,3.52,3.53,3.58,3.61,3.65,3.68,3.76,3.81
32,22_V,15.88,15.33,14.8,13.96,13.14,12.55,12.31,12.44,13.02,13.61,14.18,14.7,15.4,15.92,16.65,17.45,18.08,18.37,18.84,19.9,21.16,21.65,22.63,24.97,26.82,27.79,28.45,28.87,29.19,29.34,29.25,29.32,29.43,29.52,29.5,29.43,29.25,29.1,28.73
33,22_V,18.74,18.12,17.43,16.37,15.42,14.84,14.63,14.92,15.84,16.86,17.82,18.64,19.65,20.54,21.54,22.65,23.36,23.59,24.05,25.36,26.79,27.15,28.29,31.14,33.27,34.33,34.88,35.26,35.59,35.76,35.73,35.7,35.77,35.84,35.8,35.64,35.35,35.11,34.63
34,22_V,23.98,23.23,22.6,21.58,20.51,19.69,19.33,19.41,20.19,21.06,21.82,22.45,23.25,23.94,24.71,25.65,26.23,26.4,26.67,27.67,28.75,28.94,29.73,31.97,33.62,34.36,34.57,34.74,34.91,34.97,34.81,34.67,34.64,34.58,34.46,34.19,33.89,33.59,33.17
