gene_id,xen_pep_id,xen_gene_symbol,xen_description
PECUL23A000004,ENSXETP00000113033,kiaa1522,KIAA1522 [Source:Xenbase;Acc:XB-GENE-6469276]
PECUL23A000005,ENSXETP00000118270,,
PECUL23A000006,ENSXETP00000117992,,
PECUL23A000008,ENSXETP00000100780,pltp,phospholipid transfer protein [Source:Xenbase;Acc:XB-GENE-981861]
PECUL23A000011,ENSXETP00000042154;ENSXETP00000095923,fxr1,FMR1 autosomal homolog 1 [Source:Xenbase;Acc:XB-GENE-1004708]
PECUL23A000012,ENSXETP00000115735,clasrp,CLK4-associating serine/arginine rich protein [Source:Xenbase;Acc:XB-GENE-6458768]
PECUL23A000017,ENSXETP00000041999,lyg2,lysozyme G-like 2 [Source:Xenbase;Acc:XB-GENE-945498]
PECUL23A000018,ENSXETP00000105337,,
PECUL23A000019,ENSXETP00000079593,krt34,keratin 34 [Source:Xenbase;Acc:XB-GENE-6051335]
PECUL23A000021,ENSXETP00000033990;ENSXETP00000061006,pdzd2;znf207,PDZ domain containing 2 [Source:Xenbase;Acc:XB-GENE-6044665];zinc finger protein 207 [Source:Xenbase;Acc:XB-GENE-997701]
PECUL23A000024,ENSXETP00000060594,XB990656 [provisional:adam9],provisional ortholog of ADAM metallopeptidase domain 9 [Source:Xenbase;Acc:XB-GENE-990657]
PECUL23A000025,ENSXETP00000104326,,
PECUL23A000026,ENSXETP00000099834,strbp,spermatid perinuclear RNA binding protein [Source:Xenbase;Acc:XB-GENE-1005085]
PECUL23A000027,ENSXETP00000104643,,
PECUL23A000029,ENSXETP00000106722,,
PECUL23A000030,ENSXETP00000110219,lipt2,lipoyl(octanoyl) transferase 2 [Source:Xenbase;Acc:XB-GENE-6458907]
PECUL23A000040,ENSXETP00000104579;ENSXETP00000037610,ap2m1,adaptor related protein complex 2 subunit mu 1 [Source:Xenbase;Acc:XB-GENE-6258427]
PECUL23A000044,ENSXETP00000030609,,
PECUL23A000048,ENSXETP00000083445,tmem267,transmembrane protein 267 [Source:Xenbase;Acc:XB-GENE-5950122]
PECUL23A000050,ENSXETP00000002317,fut9,"fucosyltransferase 9 (alpha (1,3) fucosyltransferase) [Source:Xenbase;Acc:XB-GENE-966137]"
PECUL23A000053,ENSXETP00000061182,bnipl,BCL2/adenovirus E1B 19kD interacting protein like [Source:Xenbase;Acc:XB-GENE-945204]
PECUL23A000055,ENSXETP00000095789,stard6,StAR related lipid transfer domain containing 6 [Source:Xenbase;Acc:XB-GENE-972080]
PECUL23A000056,ENSXETP00000111726,KCNS2,potassium voltage-gated channel modifier subfamily S member 2 [Source:HGNC Symbol;Acc:HGNC:6301]
PECUL23A000057,ENSXETP00000041807,mgc79670,mgc79670 protein [Source:Xenbase;Acc:XB-GENE-5802720]
PECUL23A000059,ENSXETP00000079038,kng1,kininogen 1 [Source:Xenbase;Acc:XB-GENE-479795]
PECUL23A000062,ENSXETP00000037194,tmem192,transmembrane protein 192 [Source:Xenbase;Acc:XB-GENE-5751968]
PECUL23A000063,ENSXETP00000117753,,
PECUL23A000066,ENSXETP00000008136,tagln,transgelin [Source:Xenbase;Acc:XB-GENE-489085]
PECUL23A000072,ENSXETP00000030842,dtd2,D-tyrosyl-tRNA deacylase 2 (putative) [Source:Xenbase;Acc:XB-GENE-971364]
PECUL23A000073,ENSXETP00000084245,XB5907626 [provisional:fabp1],provisional ortholog of fatty acid binding protein 1 [Source:Xenbase;Acc:XB-GENE-5907627]
PECUL23A000075,ENSXETP00000009688,kpna1,protein-O-mannose kinase [Source:Xenbase;Acc:XB-GENE-984409]
PECUL23A000076,ENSXETP00000104410,,
PECUL23A000078,ENSXETP00000049946,zfpl1,zinc finger protein like 1 [Source:Xenbase;Acc:XB-GENE-991966]
PECUL23A000079,ENSXETP00000051206,get1,guided entry of tail-anchored proteins factor 1 [Source:Xenbase;Acc:XB-GENE-956728]
PECUL23A000080,ENSXETP00000041705,thap7,THAP domain containing 7 [Source:Xenbase;Acc:XB-GENE-5916275]
PECUL23A000081,ENSXETP00000103344,,
PECUL23A000084,ENSXETP00000052236;ENSXETP00000111969,chchd3;NA,coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:Xenbase;Acc:XB-GENE-1014488];NA
PECUL23A000086,ENSXETP00000079170,prrt4,proline rich transmembrane protein 4 [Source:Xenbase;Acc:XB-GENE-22069017]
PECUL23A000091,ENSXETP00000042459,incenp,inner centromere protein [Source:Xenbase;Acc:XB-GENE-990398]
PECUL23A000093,ENSXETP00000010799,cbr4,carbonyl reductase 4 [Source:Xenbase;Acc:XB-GENE-5935857]
PECUL23A000094,ENSXETP00000116184,kctd6,potassium channel tetramerization domain containing 6 [Source:Xenbase;Acc:XB-GENE-943577]
PECUL23A000095,ENSXETP00000105499,,
PECUL23A000096,ENSXETP00000079778,rarb,retinoic acid receptor beta [Source:Xenbase;Acc:XB-GENE-481009]
PECUL23A000098,ENSXETP00000068931,zswim8,zinc finger SWIM-type containing 8 [Source:Xenbase;Acc:XB-GENE-1217722]
PECUL23A000101,,,
PECUL23A000104,ENSXETP00000115797,arsd,arylsulfatase D [Source:Xenbase;Acc:XB-GENE-5874310]
PECUL23A000107,ENSXETP00000038121,lin37,lin-37 DREAM MuvB core complex component [Source:Xenbase;Acc:XB-GENE-994770]
PECUL23A000111,ENSXETP00000065773,unc45a,unc-45 myosin chaperone A [Source:Xenbase;Acc:XB-GENE-5936697]
PECUL23A000112,ENSXETP00000115266,pex5l,peroxisomal biosis factor 5-like [Source:Xenbase;Acc:XB-GENE-980178]
PECUL23A000113,ENSXETP00000095098,myof.1,"myoferlin, 1 [Source:Xenbase;Acc:XB-GENE-5957842]"
PECUL23A000114,ENSXETP00000112637,,
PECUL23A000115,ENSXETP00000104285,,
PECUL23A000117,ENSXETP00000017486,lmod1,leiomodin 1 [Source:Xenbase;Acc:XB-GENE-979212]
PECUL23A000118,ENSXETP00000097244,pea15,proliferation and apoptosis adaptor protein 15 [Source:Xenbase;Acc:XB-GENE-945186]
PECUL23A000121,ENSXETP00000099810,runx1,RUNX family transcription factor 1 [Source:Xenbase;Acc:XB-GENE-483164]
PECUL23A000125,ENSXETP00000012886,taf4,TATA-box binding protein associated factor 4 [Source:Xenbase;Acc:XB-GENE-488490]
PECUL23A000127,ENSXETP00000106396,cebpb,CCAAT enhancer binding protein beta [Source:NCBI gene (formerly Entrezgene);Acc:619595]
PECUL23A000128,ENSXETP00000119247,,
PECUL23A000129,ENSXETP00000071536,,
PECUL23A000131,ENSXETP00000115735,clasrp,CLK4-associating serine/arginine rich protein [Source:Xenbase;Acc:XB-GENE-6458768]
PECUL23A000132,ENSXETP00000071357,cacna1i,"calcium channel, voltage-dependent, T type, alpha 1I subunit [Source:Xenbase;Acc:XB-GENE-983863]"
PECUL23A000136,ENSXETP00000012776,tbl2,transducin (beta)-like 2 [Source:Xenbase;Acc:XB-GENE-5852596]
PECUL23A000142,ENSXETP00000081436,pkmyt1,"protein kinase, membrane associated tyrosine/threonine 1 [Source:Xenbase;Acc:XB-GENE-969853]"
PECUL23A000144,ENSXETP00000023283,rnf146,ring finger protein 146 [Source:Xenbase;Acc:XB-GENE-974778]
PECUL23A000152,ENSXETP00000027390,dhx9,DEAH-box helicase 9 [Source:Xenbase;Acc:XB-GENE-967775]
PECUL23A000160,ENSXETP00000059641,sh3d19,SH3 domain containing 19 [Source:Xenbase;Acc:XB-GENE-976723]
PECUL23A000163,ENSXETP00000107451,surf4.2,"surfeit 4, 1, 2 [Source:Xenbase;Acc:XB-GENE-996494]"
PECUL23A000171,ENSXETP00000077512,sec24b,"SEC24 homolog B, COPII coat complex component [Source:Xenbase;Acc:XB-GENE-1007271]"
PECUL23A000177,ENSXETP00000088600;ENSXETP00000089049,tpp2,tripeptidyl peptidase 2 [Source:Xenbase;Acc:XB-GENE-922547]
PECUL23A000187,ENSXETP00000064938;ENSXETP00000073553,sema6a,semaphorin 6A [Source:Xenbase;Acc:XB-GENE-980417]
PECUL23A000189,ENSXETP00000101442,rpl3,ribosomal protein L3 [Source:Xenbase;Acc:XB-GENE-971703]
PECUL23A000193,ENSXETP00000034012,mpp1,"membrane protein, palmitoylated 1 [Source:Xenbase;Acc:XB-GENE-5787649]"
PECUL23A000194,ENSXETP00000089706,thbs1,thrombospondin 1 [Source:Xenbase;Acc:XB-GENE-486189]
PECUL23A000195,ENSXETP00000080211,cttn,cortactin [Source:Xenbase;Acc:XB-GENE-492434]
PECUL23A000197,ENSXETP00000107419,dyrk2,dual specificity tyrosine phosphorylation regulated kinase 2 [Source:Xenbase;Acc:XB-GENE-854514]
PECUL23A000200,ENSXETP00000057493,serpinb5,"serpin peptidase inhibitor, clade B (ovalbumin), member 5 [Source:Xenbase;Acc:XB-GENE-5802997]"
PECUL23A000202,ENSXETP00000039112,gan,gigaxonin [Source:Xenbase;Acc:XB-GENE-1013088]
PECUL23A000205,ENSXETP00000116411,PLEKHB1,pleckstrin homology domain containing B1 [Source:HGNC Symbol;Acc:HGNC:19079]
PECUL23A000206,ENSXETP00000053699,myl12b,myosin light chain 12B [Source:Xenbase;Acc:XB-GENE-991019]
PECUL23A000210,ENSXETP00000036544,tspan16,tetraspanin 16 [Source:Xenbase;Acc:XB-GENE-868326]
PECUL23A000216,ENSXETP00000066314,dusp23,dual specificity phosphatase 23 [Source:NCBI gene (formerly Entrezgene);Acc:496838]
PECUL23A000219,ENSXETP00000107324,,
PECUL23A000220,ENSXETP00000093025,chst9l.1,carbohydrate sulfotransferase 9-like 1 [Source:Xenbase;Acc:XB-GENE-22169229]
PECUL23A000222,ENSXETP00000083509,xpnpep3,"X-prolyl aminopeptidase 3, mitochondrial [Source:Xenbase;Acc:XB-GENE-5770341]"
PECUL23A000223,ENSXETP00000094977,dip2c,disco interacting  C [Source:Xenbase;Acc:XB-GENE-1011926]
PECUL23A000225,ENSXETP00000061736,,
PECUL23A000230,ENSXETP00000081532,tfdp2,transcription factor Dp-2 [Source:Xenbase;Acc:XB-GENE-1000260]
PECUL23A000234,ENSXETP00000068653,slc4a3,"solute carrier family 4 (anion exchanger), member 3 [Source:Xenbase;Acc:XB-GENE-996901]"
PECUL23A000241,ENSXETP00000098891,psmd3,"proteasome 26S subunit, non-ATPase 3 [Source:Xenbase;Acc:XB-GENE-958537]"
PECUL23A000242,ENSXETP00000055200,sfrp2,secreted frizzled-related protein 2 [Source:Xenbase;Acc:XB-GENE-485147]
PECUL23A000248,ENSXETP00000006165;ENSXETP00000090665,osbpl9,oxysterol binding protein like 9 [Source:Xenbase;Acc:XB-GENE-948223]
PECUL23A000252,ENSXETP00000014504,c8orf76,
PECUL23A000253,ENSXETP00000092115,mmp8,matrix metallopeptidase 8 [Source:Xenbase;Acc:XB-GENE-952402]
PECUL23A000257,ENSXETP00000044540,taf12,TATA-box binding protein associated factor 12 [Source:Xenbase;Acc:XB-GENE-943294]
PECUL23A000260,ENSXETP00000065665,rabgef1,RAB guanine nucleotide exchange factor (GEF) 1 [Source:Xenbase;Acc:XB-GENE-5952242]
PECUL23A000261,ENSXETP00000119038,ifitm1,interferon induced transmembrane protein 1 [Source:Xenbase;Acc:XB-GENE-1018423]
PECUL23A000264,ENSXETP00000065135,nelfe,negative elongation factor complex member E [Source:Xenbase;Acc:XB-GENE-482911]
PECUL23A000265,ENSXETP00000063197,XB5732280 [provisional],uncharacterized XB5732280 [Source:Xenbase;Acc:XB-GENE-5732281]
PECUL23A000266,ENSXETP00000119360,h4c3,
PECUL23A000267,ENSXETP00000046826,ptbp1,polypyrimidine tract binding protein 1 [Source:Xenbase;Acc:XB-GENE-5818206]
PECUL23A000268,ENSXETP00000102118,,
PECUL23A000270,ENSXETP00000071357,cacna1i,"calcium channel, voltage-dependent, T type, alpha 1I subunit [Source:Xenbase;Acc:XB-GENE-983863]"
PECUL23A000271,ENSXETP00000110995,gnat2,"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2 [Source:Xenbase;Acc:XB-GENE-6258657]"
PECUL23A000273,ENSXETP00000034066,ctcf,CCCTC-binding factor [Source:Xenbase;Acc:XB-GENE-862914]
PECUL23A000275,ENSXETP00000095995,brd4,bromodomain containing 4 [Source:Xenbase;Acc:XB-GENE-5859147]
PECUL23A000276,,,
PECUL23A000284,ENSXETP00000019583,camk1g,calcium/calmodulin-dependent protein kinase IG [Source:Xenbase;Acc:XB-GENE-6085002]
PECUL23A000285,ENSXETP00000101944,,
PECUL23A000286,ENSXETP00000117700,,
PECUL23A000289,ENSXETP00000111008,mdfi,MyoD family inhibitor [Source:Xenbase;Acc:XB-GENE-22068735]
PECUL23A000291,ENSXETP00000109649,pdlim1,PDZ and LIM domain 1 [Source:Xenbase;Acc:XB-GENE-1004691]
PECUL23A000294,ENSXETP00000108516,tial1,TIA1 cytotoxic granule-associated RNA binding protein-like 1 [Source:Xenbase;Acc:XB-GENE-958519]
PECUL23A000297,ENSXETP00000042013,mcf2l.2,MCF.2 cell line derived transforming sequence like [Source:Xenbase;Acc:XB-GENE-5959163]
PECUL23A000298,ENSXETP00000113484,,
PECUL23A000300,ENSXETP00000101223,mmp16,matrix metallopeptidase 16 [Source:Xenbase;Acc:XB-GENE-1007177]
PECUL23A000301,ENSXETP00000025683,tyr,tyrosinase [Source:Xenbase;Acc:XB-GENE-988578]
PECUL23A000302,ENSXETP00000002104,dcaf6,DDB1 and CUL4 associated factor 6 [Source:Xenbase;Acc:XB-GENE-5738809]
PECUL23A000310,ENSXETP00000059487,farp1,"FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:Xenbase;Acc:XB-GENE-486840]"
PECUL23A000312,ENSXETP00000079202,cep120,centrosomal protein 120kDa [Source:Xenbase;Acc:XB-GENE-5872143]
PECUL23A000313,ENSXETP00000085889,,
PECUL23A000315,ENSXETP00000110873,,
PECUL23A000319,ENSXETP00000099067,lbr,lamin B receptor [Source:Xenbase;Acc:XB-GENE-979300]
PECUL23A000321,ENSXETP00000070113,smarca5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:Xenbase;Acc:XB-GENE-494817]"
PECUL23A000323,ENSXETP00000018585,tgm4,transglutaminase 4 [Source:Xenbase;Acc:XB-GENE-1012962]
PECUL23A000328,ENSXETP00000022847,pitx1,paired like homeodomain 1 [Source:Xenbase;Acc:XB-GENE-485441]
PECUL23A000329,ENSXETP00000104974,h3f3b,"H3 histone, family 3B (H3.3B) [Source:NCBI gene (formerly Entrezgene);Acc:394622]"
PECUL23A000332,ENSXETP00000085483;ENSXETP00000085260,mt4,nudix hydrolase 21 [Source:Xenbase;Acc:XB-GENE-921415]
PECUL23A000333,ENSXETP00000115735,clasrp,CLK4-associating serine/arginine rich protein [Source:Xenbase;Acc:XB-GENE-6458768]
PECUL23A000335,ENSXETP00000030149,zc3h6,zinc finger CCCH type containing 6 [Source:Xenbase;Acc:XB-GENE-6454376]
PECUL23A000336,ENSXETP00000114554,,
PECUL23A000337,ENSXETP00000041046,pccb,propionyl-CoA carboxylase subunit beta [Source:Xenbase;Acc:XB-GENE-993785]
PECUL23A000338,ENSXETP00000071329,tril,TLR4 interactor with leucine-rich repeats [Source:Xenbase;Acc:XB-GENE-6050227]
PECUL23A000342,ENSXETP00000022743,baz1b,bromodomain adjacent to zinc finger domain 1B [Source:Xenbase;Acc:XB-GENE-853544]
PECUL23A000344,ENSXETP00000090841,,
PECUL23A000349,ENSXETP00000037399,aifm2,"apoptosis inducing factor, mitochondria associated 2 [Source:Xenbase;Acc:XB-GENE-1003376]"
PECUL23A000350,ENSXETP00000046505,fbxl16,"eukaryotic translation elongation factor 2, 1 [Source:Xenbase;Acc:XB-GENE-969739]"
PECUL23A000351,ENSXETP00000106080,,
PECUL23A000352,ENSXETP00000111955,,
PECUL23A000355,ENSXETP00000026439,XB5944457 [provisional],uncharacterized XB5944457 [Source:Xenbase;Acc:XB-GENE-5944458]
PECUL23A000356,ENSXETP00000109127,,
PECUL23A000357,ENSXETP00000086706,ptprm,"protein tyrosine phosphatase, receptor type M [Source:Xenbase;Acc:XB-GENE-5958903]"
PECUL23A000365,ENSXETP00000013093,ip6k1,inositol hexaphosphate kinase 1 [Source:Xenbase;Acc:XB-GENE-921615]
PECUL23A000366,ENSXETP00000071466,morn5,MORN repeat containing 5 [Source:Xenbase;Acc:XB-GENE-958918]
PECUL23A000369,ENSXETP00000068931,zswim8,zinc finger SWIM-type containing 8 [Source:Xenbase;Acc:XB-GENE-1217722]
PECUL23A000370,ENSXETP00000094319,grxcr1,"glutaredoxin, cysteine rich 1 [Source:Xenbase;Acc:XB-GENE-6042490]"
PECUL23A000371,ENSXETP00000115735,clasrp,CLK4-associating serine/arginine rich protein [Source:Xenbase;Acc:XB-GENE-6458768]
PECUL23A000373,ENSXETP00000025042,rph3a,rabphilin 3A [Source:Xenbase;Acc:XB-GENE-5881709]
PECUL23A000379,ENSXETP00000076399,,
PECUL23A000380,ENSXETP00000099532,XB1001094 [provisional:cyp27a1],provisional ortholog of cytochrome P450 family 27 subfamily A member 1 [Source:Xenbase;Acc:XB-GENE-1001095]
PECUL23A000381,ENSXETP00000112637,,
PECUL23A000384,ENSXETP00000077623,arhgef12,Rho guanine nucleotide exchange factor 12 [Source:Xenbase;Acc:XB-GENE-485387]
PECUL23A000388,ENSXETP00000106477,,
PECUL23A000389,ENSXETP00000029143,bves,blood vessel epicardial substance [Source:Xenbase;Acc:XB-GENE-484277]
PECUL23A000390,ENSXETP00000061083,sntg2,"syntrophin, gamma 2 [Source:Xenbase;Acc:XB-GENE-988144]"
PECUL23A000402,ENSXETP00000117978;ENSXETP00000102440,klc4,kinesin light chain 4 [Source:Xenbase;Acc:XB-GENE-22251717]
PECUL23A000407,ENSXETP00000063616,ano10l,anoctamin 10 like [Source:Xenbase;Acc:XB-GENE-22066158]
PECUL23A000408,ENSXETP00000066652,dock11,dedicator of cytokinesis 11 [Source:Xenbase;Acc:XB-GENE-921713]
PECUL23A000409,ENSXETP00000032547,tnnc2,"troponin C2, fast skeletal type [Source:Xenbase;Acc:XB-GENE-480259]"
PECUL23A000411,ENSXETP00000102996,mien1,migration and invasion enhancer 1 [Source:Xenbase;Acc:XB-GENE-969302]
PECUL23A000413,ENSXETP00000090616,PSD,pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]
PECUL23A000414,ENSXETP00000040773,lrrc28,leucine rich repeat containing 28 [Source:Xenbase;Acc:XB-GENE-957286]
PECUL23A000415,ENSXETP00000115847,thrsp,thyroid hormone responsive [Source:Xenbase;Acc:XB-GENE-6258595]
PECUL23A000417,ENSXETP00000058591,,
